"filename", "language", "XML", "Python", "comment", "blank", "total"
"/Users/emilknudsen/Desktop/research/.idea/inspectionProfiles/profiles_settings.xml", "XML", 6, 0, 0, 0, 6
"/Users/emilknudsen/Desktop/research/.idea/misc.xml", "XML", 4, 0, 0, 0, 4
"/Users/emilknudsen/Desktop/research/.idea/modules.xml", "XML", 8, 0, 0, 0, 8
"/Users/emilknudsen/Desktop/research/.idea/research.iml", "XML", 8, 0, 0, 0, 8
"/Users/emilknudsen/Desktop/research/.idea/vcs.xml", "XML", 6, 0, 0, 0, 6
"/Users/emilknudsen/Desktop/research/Classes/agent.py", "Python", 0, 101, 45, 27, 173
"/Users/emilknudsen/Desktop/research/Classes/competition_agent.py", "Python", 0, 94, 4, 22, 120
"/Users/emilknudsen/Desktop/research/Classes/constants.py", "Python", 0, 74, 8, 25, 107
"/Users/emilknudsen/Desktop/research/Classes/food.py", "Python", 0, 331, 3, 51, 385
"/Users/emilknudsen/Desktop/research/Classes/population_creator.py", "Python", 0, 54, 0, 16, 70
"/Users/emilknudsen/Desktop/research/Classes/screen.py", "Python", 0, 122, 10, 39, 171
"/Users/emilknudsen/Desktop/research/Classes/simulation_1v1.py", "Python", 0, 101, 7, 26, 134
"/Users/emilknudsen/Desktop/research/Classes/simulation_competition.py", "Python", 0, 65, 10, 17, 92
"/Users/emilknudsen/Desktop/research/Classes/simulation_single.py", "Python", 0, 69, 8, 22, 99
"/Users/emilknudsen/Desktop/research/Statistics/arena_visualizer.py", "Python", 0, 13, 0, 4, 17
"/Users/emilknudsen/Desktop/research/Statistics/genome_graphs/base_case_fs_neat.svg", "XML", 174, 0, 36, 1, 211
"/Users/emilknudsen/Desktop/research/Statistics/genome_graphs/base_case_full.svg", "XML", 2294, 0, 460, 1, 2755
"/Users/emilknudsen/Desktop/research/Statistics/genome_graphs/fs_neat.svg", "XML", 41, 0, 0, 1, 42
"/Users/emilknudsen/Desktop/research/Statistics/genome_graphs/full_direct.svg", "XML", 465, 0, 0, 1, 466
"/Users/emilknudsen/Desktop/research/Statistics/genome_graphs/full_new.svg", "XML", 2209, 0, 443, 1, 2653
"/Users/emilknudsen/Desktop/research/Statistics/graphplotter.py", "Python", 0, 113, 13, 51, 177
"/Users/emilknudsen/Desktop/research/Statistics/test.svg", "XML", 194, 0, 40, 1, 235
"/Users/emilknudsen/Desktop/research/Statistics/visualize.py", "Python", 0, 184, 20, 67, 271
"/Users/emilknudsen/Desktop/research/main.py", "Python", 0, 51, 6, 22, 79
"Total", "-", 5409, 1372, 1113, 395, 8289